match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
West Indies Vs Afghanistan,West Indies,Obed McCoy,3,0,14,3,4.66,9,1,0,0,0,T20I # 2703
New Zealand Vs P.N.G,New Zealand,Trent Boult,4,0,14,2,3.5,16,2,0,0,0,T20I # 2702
New Zealand Vs P.N.G,New Zealand,Tim Southee,4,0,11,2,2.75,18,1,0,2,0,T20I # 2702
New Zealand Vs P.N.G,New Zealand,Lockie Ferguson,4,4,0,3,0,24,0,0,0,0,T20I # 2702
New Zealand Vs P.N.G,New Zealand,Ish Sodhi,3.4,0,29,2,7.9,9,3,1,1,0,T20I # 2702
New Zealand Vs P.N.G,New Zealand,Mitchell Santner,4,0,17,1,4.25,14,1,0,1,0,T20I # 2702
New Zealand Vs P.N.G,P.N.G,Kabua Morea,2.2,0,4,2,1.71,11,0,0,0,0,T20I # 2702
New Zealand Vs P.N.G,P.N.G,Alei Nao,3,0,22,0,7.33,9,1,2,0,0,T20I # 2702
New Zealand Vs P.N.G,P.N.G,Assad Vala,1,0,4,0,4,2,0,0,0,0,T20I # 2702
New Zealand Vs P.N.G,P.N.G,Charles Amini,1,0,5,0,5,1,0,0,0,0,T20I # 2702
New Zealand Vs P.N.G,P.N.G,Semo Kamea,3,0,23,1,7.66,8,4,0,0,0,T20I # 2702
New Zealand Vs P.N.G,P.N.G,Chad Soper,1,0,14,0,14,2,1,1,0,0,T20I # 2702
New Zealand Vs P.N.G,P.N.G,Norman Vanua,1,0,6,0,6,3,1,0,0,0,T20I # 2702
Netherlands Vs Sri Lanka,Netherlands,Vivian Kingma,3,0,23,1,7.66,9,3,0,3,0,T20I # 2699
Netherlands Vs Sri Lanka,Netherlands,Aryan Dutt,3,0,23,1,7.66,5,1,1,1,0,T20I # 2699
Netherlands Vs Sri Lanka,Netherlands,Logan van Beek,4,0,45,2,11.25,8,1,4,2,0,T20I # 2699
Netherlands Vs Sri Lanka,Netherlands,Paul van Meekeren,3,0,37,1,12.33,4,3,2,2,0,T20I # 2699
Netherlands Vs Sri Lanka,Netherlands,Tim Pringle,4,0,41,1,10.25,3,3,2,0,0,T20I # 2699
Netherlands Vs Sri Lanka,Netherlands,Bas de Leede,3,0,32,0,10.66,5,1,2,0,0,T20I # 2699
Netherlands Vs Sri Lanka,Sri Lanka,Angelo Mathews,2,0,20,0,10,7,0,2,1,1,T20I # 2699
Netherlands Vs Sri Lanka,Sri Lanka,Nuwan Thushara,3.4,0,24,3,6.54,11,2,1,2,0,T20I # 2699
Netherlands Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,3,0,25,1,8.33,7,1,2,1,0,T20I # 2699
Netherlands Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,25,2,6.25,10,1,1,0,0,T20I # 2699
Netherlands Vs Sri Lanka,Sri Lanka,Dasun Shanaka,1,0,10,1,10,1,1,0,0,0,T20I # 2699
Netherlands Vs Sri Lanka,Sri Lanka,Matheesha Pathirana,3,0,12,2,4,10,0,0,1,0,T20I # 2699
Bangladesh Vs Nepal,Nepal,Sompal Kami,3,0,10,2,3.33,12,1,0,0,0,T20I # 2698
Bangladesh Vs Nepal,Nepal,Dipendra Singh Airee,3.3,0,22,2,6.28,11,3,0,0,0,T20I # 2698
Bangladesh Vs Nepal,Nepal,Rohit Paudel,4,0,20,2,5,11,2,0,0,0,T20I # 2698
Bangladesh Vs Nepal,Nepal,Sandeep Lamichhane,4,1,17,2,4.25,15,2,0,1,0,T20I # 2698
Bangladesh Vs Nepal,Nepal,Kushal Bhurtel,4,0,22,0,5.5,12,1,1,2,0,T20I # 2698
Bangladesh Vs Nepal,Nepal,Abinash Bohara,1,0,10,0,10,3,1,0,2,0,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,Tanzim Hasan Sakib,4,2,7,4,1.75,21,1,0,1,0,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,Taskin Ahmed,4,0,29,1,7.25,13,4,1,1,0,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,Mustafizur Rahman,4,1,7,3,1.75,20,1,0,0,0,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,Rishad Hossain,3,0,15,0,5,13,1,0,1,0,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,Shakib Al Hasan,2.2,0,9,2,3.85,7,0,0,0,0,T20I # 2698
Bangladesh Vs Nepal,Bangladesh,Mahmudullah,2,0,15,0,7.5,6,1,1,0,0,T20I # 2698
Ireland Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,22,3,5.5,16,3,0,1,0,T20I # 2697
Ireland Vs Pakistan,Pakistan,Mohammad Amir,4,1,11,2,2.75,20,2,0,0,0,T20I # 2697
Ireland Vs Pakistan,Pakistan,Haris Rauf,4,0,17,1,4.25,16,1,1,0,0,T20I # 2697
Ireland Vs Pakistan,Pakistan,Abbas Afridi,3,0,31,0,10.33,5,1,2,2,0,T20I # 2697
Ireland Vs Pakistan,Pakistan,Shadab Khan,1,0,11,0,11,3,1,1,0,0,T20I # 2697
Ireland Vs Pakistan,Pakistan,Imad Wasim,4,0,8,3,2,17,0,0,0,0,T20I # 2697
