match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
England Vs Namibia,Namibia,Gerhard Erasmus,2,0,26,0,13,2,2,1,0,0,T20I # 2688
England Vs Namibia,Namibia,Jack Brassell,2,0,32,0,16,2,3,2,0,0,T20I # 2688
England Vs Namibia,England,Reece Topley,2,0,6,0,3,8,0,0,0,1,T20I # 2688
England Vs Namibia,England,Jofra Archer,2,0,15,1,7.5,7,1,1,1,0,T20I # 2688
England Vs Namibia,England,Sam Curran,2,0,13,0,6.5,5,2,0,0,0,T20I # 2688
England Vs Namibia,England,Chris Jordan,2,0,19,1,9.5,4,0,2,0,0,T20I # 2688
England Vs Namibia,England,Adil Rashid,2,0,29,0,14.5,3,1,3,1,0,T20I # 2688
New Zealand Vs Uganda,New Zealand,Trent Boult,4,1,7,2,1.75,20,1,0,0,0,T20I # 2682
New Zealand Vs Uganda,New Zealand,Tim Southee,4,1,4,3,1,20,0,0,0,0,T20I # 2682
New Zealand Vs Uganda,New Zealand,Mitchell Santner,3.4,0,8,2,2.18,17,0,0,3,0,T20I # 2682
New Zealand Vs Uganda,New Zealand,Lockie Ferguson,4,0,9,1,2.25,20,1,0,2,0,T20I # 2682
New Zealand Vs Uganda,New Zealand,Rachin Ravindra,3,1,9,2,3,12,1,0,0,0,T20I # 2682
New Zealand Vs Uganda,Uganda,Cosmas Kyewuta,2,0,13,0,6.5,6,1,0,2,1,T20I # 2682
New Zealand Vs Uganda,Uganda,Juma Miyagi,2.2,0,16,0,6.85,7,3,0,0,0,T20I # 2682
New Zealand Vs Uganda,Uganda,Riazat Ali Shah,1,0,10,1,10,3,1,0,4,0,T20I # 2682
Nepal Vs South Africa,Nepal,Sompal Kami,2,1,6,0,3,10,1,0,1,0,T20I # 2681
Nepal Vs South Africa,Nepal,Dipendra Singh Airee,4,0,21,3,5.25,9,1,0,1,0,T20I # 2681
Nepal Vs South Africa,Nepal,Karan KC,1,0,9,0,9,3,2,0,0,0,T20I # 2681
Nepal Vs South Africa,Nepal,Kushal Malla,2,0,17,0,8.5,6,2,1,0,0,T20I # 2681
Nepal Vs South Africa,Nepal,Sandeep Lamichhane,4,0,18,0,4.5,11,1,0,0,0,T20I # 2681
Nepal Vs South Africa,Nepal,Kushal Bhurtel,4,0,19,4,4.75,12,0,1,1,0,T20I # 2681
Nepal Vs South Africa,Nepal,Abinash Bohara,3,0,19,0,6.33,8,3,0,0,0,T20I # 2681
Nepal Vs South Africa,South Africa,Marco Jansen,4,0,16,0,4,16,1,1,0,0,T20I # 2681
Nepal Vs South Africa,South Africa,Kagiso Rabada,2,0,17,0,8.5,6,2,1,0,0,T20I # 2681
Nepal Vs South Africa,South Africa,Ottneil Baartman,4,0,20,0,5,15,3,0,0,0,T20I # 2681
Nepal Vs South Africa,South Africa,Anrich Nortje,4,0,27,1,6.75,15,3,1,3,0,T20I # 2681
Nepal Vs South Africa,South Africa,Tabraiz Shamsi,4,0,19,4,4.75,12,0,1,1,0,T20I # 2681
Nepal Vs South Africa,South Africa,Aiden Markram,2,0,8,1,4,4,0,0,0,0,T20I # 2681
Afghanistan Vs P.N.G,Afghanistan,Fazalhaq Farooqi,4,0,16,3,4,17,1,0,1,0,T20I # 2679
Afghanistan Vs P.N.G,Afghanistan,Mohammad Nabi,1,0,9,0,9,1,1,0,0,0,T20I # 2679
Afghanistan Vs P.N.G,Afghanistan,Naveen-ul-Haq,2.5,0,4,2,1.41,14,0,0,1,0,T20I # 2679
Afghanistan Vs P.N.G,Afghanistan,Rashid Khan,4,0,25,0,6.25,10,1,0,1,0,T20I # 2679
Afghanistan Vs P.N.G,Afghanistan,Noor Ahmad,4,0,14,1,3.5,15,1,0,1,0,T20I # 2679
Afghanistan Vs P.N.G,Afghanistan,Azmatullah Omarzai,2,1,5,0,2.5,10,1,0,0,0,T20I # 2679
Afghanistan Vs P.N.G,Afghanistan,Karim Janat,2,0,10,0,5,7,1,0,1,0,T20I # 2679
Afghanistan Vs P.N.G,P.N.G,Alei Nao,4,0,26,1,6.5,14,0,2,3,0,T20I # 2679
Afghanistan Vs P.N.G,P.N.G,Semo Kamea,3,0,16,1,5.33,10,2,0,2,0,T20I # 2679
Afghanistan Vs P.N.G,P.N.G,Chad Soper,2.1,0,19,0,8.76,5,1,1,0,0,T20I # 2679
Afghanistan Vs P.N.G,P.N.G,Norman Vanua,3,0,18,1,6,7,2,0,0,0,T20I # 2679
Afghanistan Vs P.N.G,P.N.G,John Kariko,3,0,15,0,5,9,2,0,0,0,T20I # 2679
England Vs Oman,England,Reece Topley,3,0,12,0,4,11,0,1,0,0,T20I # 2678
England Vs Oman,England,Jofra Archer,3.2,1,12,3,3.6,15,2,0,1,0,T20I # 2678
England Vs Oman,England,Mark Wood,3,0,12,3,4,10,1,0,0,0,T20I # 2678
England Vs Oman,England,Adil Rashid,4,0,11,4,2.75,20,1,0,3,0,T20I # 2678
England Vs Oman,Oman,Bilal Khan,2,0,36,1,18,3,4,3,0,0,T20I # 2678
England Vs Oman,Oman,Kaleemullah,1,0,10,1,10,4,2,0,0,1,T20I # 2678
England Vs Oman,Oman,Fayyaz Butt,0.1,0,4,0,24,0,1,0,0,0,T20I # 2678
Bangladesh Vs Netherlands,Netherlands,Vivian Kingma,2,0,20,0,10,6,2,1,1,0,T20I # 2677
Bangladesh Vs Netherlands,Netherlands,Aryan Dutt,4,0,17,2,4.25,12,1,0,1,0,T20I # 2677
Bangladesh Vs Netherlands,Netherlands,Paul van Meekeren,4,0,15,2,3.75,13,1,0,0,0,T20I # 2677
Bangladesh Vs Netherlands,Netherlands,Logan van Beek,4,0,43,0,10.75,9,7,1,1,0,T20I # 2677
Bangladesh Vs Netherlands,Netherlands,Bas de Leede,3,0,31,0,10.33,5,5,0,0,0,T20I # 2677
Bangladesh Vs Netherlands,Netherlands,Tim Pringle,3,0,26,1,8.66,6,3,1,0,0,T20I # 2677
Bangladesh Vs Netherlands,Bangladesh,Mustafizur Rahman,4,0,12,1,3,17,1,0,1,0,T20I # 2677
Bangladesh Vs Netherlands,Bangladesh,Tanzim Hasan Sakib,3,0,23,1,7.66,9,4,0,0,0,T20I # 2677
Bangladesh Vs Netherlands,Bangladesh,Taskin Ahmed,4,0,30,2,7.5,13,3,2,0,0,T20I # 2677
Bangladesh Vs Netherlands,Bangladesh,Shakib Al Hasan,4,0,29,0,7.25,10,1,2,0,0,T20I # 2677
Bangladesh Vs Netherlands,Bangladesh,Rishad Hossain,4,0,33,3,8.25,11,2,2,0,0,T20I # 2677
Bangladesh Vs Netherlands,Bangladesh,Mahmudullah,1,0,6,1,6,3,1,0,0,0,T20I # 2677
West Indies Vs New Zealand,New Zealand,Trent Boult,4,1,16,3,4,15,2,0,0,0,T20I # 2672
West Indies Vs New Zealand,New Zealand,Tim Southee,4,0,21,2,5.25,14,2,1,0,0,T20I # 2672
West Indies Vs New Zealand,New Zealand,Lockie Ferguson,4,0,27,2,6.75,11,2,1,2,0,T20I # 2672
West Indies Vs New Zealand,New Zealand,James Neesham,4,0,27,1,6.75,9,0,2,1,0,T20I # 2672
West Indies Vs New Zealand,New Zealand,Glenn Phillips,1,0,9,0,9,2,0,1,0,0,T20I # 2672
West Indies Vs New Zealand,New Zealand,Mitchell Santner,2,0,27,1,13.5,4,2,2,0,0,T20I # 2672
West Indies Vs New Zealand,New Zealand,Daryl Mitchell,1,0,19,0,19,2,0,3,0,0,T20I # 2672
West Indies Vs New Zealand,West Indies,Akeal Hosein,4,0,21,1,5.25,11,1,1,0,0,T20I # 2672
West Indies Vs New Zealand,West Indies,Romario Shepherd,3,0,36,0,12,7,1,4,2,0,T20I # 2672
West Indies Vs New Zealand,West Indies,Andre Russell,4,0,30,1,7.5,11,2,2,0,0,T20I # 2672
West Indies Vs New Zealand,West Indies,Alzarri Joseph,4,0,19,4,4.75,13,2,0,0,0,T20I # 2672
West Indies Vs New Zealand,West Indies,Gudakesh Motie,4,0,25,3,6.25,11,1,1,0,0,T20I # 2672
West Indies Vs New Zealand,West Indies,Roston Chase,1,0,4,0,4,3,0,0,1,0,T20I # 2672
USA Vs India,India,Arshdeep Singh,4,0,9,4,2.25,17,0,0,1,0,T20I # 2671
USA Vs India,India,Mohammed Siraj,4,0,25,0,6.25,11,1,1,0,0,T20I # 2671
USA Vs India,India,Jasprit Bumrah,4,0,25,0,6.25,14,1,1,1,0,T20I # 2671
USA Vs India,India,Hardik Pandya,4,1,14,2,3.5,19,1,1,0,0,T20I # 2671
USA Vs India,India,Shivam Dube,1,0,11,0,11,3,1,1,0,0,T20I # 2671
USA Vs India,India,Axar Patel,3,0,25,1,8.33,5,0,2,1,0,T20I # 2671
USA Vs India,USA,Saurabh Netravalkar,4,0,18,2,4.5,13,0,1,0,0,T20I # 2671
USA Vs India,USA,Ali Khan,3.2,0,21,1,6.3,8,2,0,1,0,T20I # 2671
USA Vs India,USA,Jasdeep Singh,4,0,24,0,6,11,1,1,0,1,T20I # 2671
USA Vs India,USA,Shadley van Schalkwyk,4,0,25,0,6.25,8,1,1,0,0,T20I # 2671
USA Vs India,USA,Corey Anderson,3,0,17,0,5.66,8,0,1,1,0,T20I # 2671
Australia Vs Namibia,Australia,Josh Hazlewood,4,0,18,2,4.5,16,2,0,1,0,T20I # 2666
Australia Vs Namibia,Australia,Marcus Stoinis,3,0,9,2,3,14,1,0,2,0,T20I # 2666
Australia Vs Namibia,Australia,Pat Cummins,3,1,16,1,5.33,11,1,1,0,0,T20I # 2666
Australia Vs Namibia,Australia,Adam Zampa,4,0,12,4,3,17,0,1,0,0,T20I # 2666
Australia Vs Namibia,Australia,Nathan Ellis,3,1,12,1,4,13,2,0,0,0,T20I # 2666
Australia Vs Namibia,Namibia,Ruben Trumpelmann,2,0,19,0,9.5,5,4,0,0,0,T20I # 2666
Australia Vs Namibia,Namibia,David Wiese,1,0,15,1,15,3,2,1,1,0,T20I # 2666
Australia Vs Namibia,Namibia,Ben Shikongo,1,0,19,0,19,1,3,1,0,0,T20I # 2666
Australia Vs Namibia,Namibia,Gerhard Erasmus,1,0,6,0,6,5,0,1,0,0,T20I # 2666
Australia Vs Namibia,Namibia,Jack Brassell,0.4,0,14,0,21,1,2,1,0,0,T20I # 2666
Canada Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,21,1,5.25,16,2,1,1,0,T20I # 2665
Canada Vs Pakistan,Pakistan,Naseem Shah,4,0,24,1,6,13,2,1,1,0,T20I # 2665
Canada Vs Pakistan,Pakistan,Mohammad Amir,4,0,13,2,3.25,17,2,0,0,0,T20I # 2665
Canada Vs Pakistan,Pakistan,Haris Rauf,4,0,26,2,6.5,14,1,1,3,0,T20I # 2665
Canada Vs Pakistan,Pakistan,Imad Wasim,4,0,19,0,4.75,16,0,2,1,0,T20I # 2665
Canada Vs Pakistan,Canada,Kaleem Sana,3,0,21,0,7,8,1,0,1,0,T20I # 2665
Canada Vs Pakistan,Canada,Jeremy Gordon,3.3,0,17,1,4.85,11,1,0,1,0,T20I # 2665
Canada Vs Pakistan,Canada,Dilon Heyliger,4,0,18,2,4.5,10,0,0,1,0,T20I # 2665
Canada Vs Pakistan,Canada,Saad Bin Zafar,4,0,23,0,5.75,7,1,0,1,0,T20I # 2665
Canada Vs Pakistan,Canada,Junaid Siddiqui,3,0,28,0,9.33,3,0,2,1,0,T20I # 2665
Bangladesh Vs South Africa,Bangladesh,Tanzim Hasan Sakib,4,0,18,3,4.5,17,1,1,2,0,T20I # 2664
Bangladesh Vs South Africa,Bangladesh,Taskin Ahmed,4,0,19,2,4.75,14,1,1,0,0,T20I # 2664
Bangladesh Vs South Africa,Bangladesh,Mustafizur Rahman,4,0,18,0,4.5,16,1,1,1,0,T20I # 2664
Bangladesh Vs South Africa,Bangladesh,Rishad Hossain,4,0,32,1,8,10,2,2,0,0,T20I # 2664
Bangladesh Vs South Africa,Bangladesh,Shakib Al Hasan,1,0,6,0,6,1,0,0,0,0,T20I # 2664
Bangladesh Vs South Africa,Bangladesh,Mahmudullah,3,0,17,0,5.66,8,0,1,0,0,T20I # 2664
Bangladesh Vs South Africa,South Africa,Marco Jansen,4,0,17,0,4.25,17,2,0,2,0,T20I # 2664
Bangladesh Vs South Africa,South Africa,Kagiso Rabada,4,0,19,2,4.75,12,2,0,0,0,T20I # 2664
Bangladesh Vs South Africa,South Africa,Ottneil Baartman,4,0,27,0,6.75,11,2,1,0,0,T20I # 2664
Bangladesh Vs South Africa,South Africa,Keshav Maharaj,4,0,27,3,6.75,12,0,2,2,0,T20I # 2664
Bangladesh Vs South Africa,South Africa,Anrich Nortje,4,0,17,2,4.25,14,1,0,1,1,T20I # 2664
Oman Vs Scotland,Scotland,Mark Watt,4,0,25,1,6.25,8,2,0,2,0,T20I # 2659
Oman Vs Scotland,Scotland,Brad Wheal,4,0,19,1,4.75,12,2,0,0,0,T20I # 2659
Oman Vs Scotland,Scotland,Chris Sole,4,0,41,1,10.25,7,2,3,0,0,T20I # 2659
Oman Vs Scotland,Scotland,Safyaan Sharif,4,0,40,2,10,6,6,0,0,0,T20I # 2659
Oman Vs Scotland,Scotland,Michael Leask,3,0,21,0,7,8,1,1,1,0,T20I # 2659
Oman Vs Scotland,Scotland,Chris Greaves,1,0,2,1,2,4,0,0,0,0,T20I # 2659
Oman Vs Scotland,Oman,Bilal Khan,2.1,0,12,1,5.53,8,2,0,0,0,T20I # 2659
Oman Vs Scotland,Oman,Shakeel Ahmed,2,0,23,0,11.5,5,2,2,0,0,T20I # 2659
Oman Vs Scotland,Oman,Kaleemullah,2,0,17,0,8.5,6,2,1,0,0,T20I # 2659
Oman Vs Scotland,Oman,Aqib Ilyas,3,0,41,1,13.66,6,4,3,0,0,T20I # 2659
Oman Vs Scotland,Oman,Mehran Khan,1,0,16,1,16,3,1,1,1,0,T20I # 2659
Oman Vs Scotland,Oman,Zeeshan Maqsood,2,0,22,0,11,4,2,1,0,0,T20I # 2659
Oman Vs Scotland,Oman,Ayaan Khan,1,0,20,0,20,1,0,3,0,0,T20I # 2659
India Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,29,1,7.25,14,1,2,1,0,T20I # 2658
India Vs Pakistan,Pakistan,Naseem Shah,4,0,21,3,5.25,15,3,0,1,1,T20I # 2658
India Vs Pakistan,Pakistan,Mohammad Amir,4,0,23,2,5.75,15,3,0,0,0,T20I # 2658
India Vs Pakistan,Pakistan,Iftikhar Ahmed,1,0,7,0,7,3,1,0,1,0,T20I # 2658
India Vs Pakistan,Pakistan,Imad Wasim,3,0,17,0,5.66,6,1,0,1,0,T20I # 2658
India Vs Pakistan,Pakistan,Haris Rauf,3,0,21,3,7,10,4,0,0,0,T20I # 2658
India Vs Pakistan,India,Arshdeep Singh,4,0,31,1,7.75,11,4,0,1,0,T20I # 2658
India Vs Pakistan,India,Mohammed Siraj,4,0,19,0,4.75,11,1,0,1,1,T20I # 2658
India Vs Pakistan,India,Jasprit Bumrah,4,0,14,3,3.5,15,1,0,0,0,T20I # 2658
India Vs Pakistan,India,Hardik Pandya,4,0,24,2,6,11,1,1,1,0,T20I # 2658
India Vs Pakistan,India,Ravindra Jadeja,2,0,10,0,5,5,1,0,0,0,T20I # 2658
India Vs Pakistan,India,Axar Patel,2,0,11,1,5.5,6,0,1,0,0,T20I # 2658
West Indies Vs Uganda,Uganda,Alpesh Ramjani,3,0,16,1,5.33,11,1,1,0,0,T20I # 2651
West Indies Vs Uganda,Uganda,Cosmas Kyewuta,4,0,42,1,10.5,15,7,1,2,1,T20I # 2651
West Indies Vs Uganda,Uganda,Juma Miyagi,3,0,29,0,9.66,6,3,1,0,1,T20I # 2651
West Indies Vs Uganda,Uganda,Frank Nsubuga,3,0,29,0,9.66,4,1,2,0,1,T20I # 2651
West Indies Vs Uganda,Uganda,Brian Masaba,4,0,31,2,7.75,10,1,2,2,0,T20I # 2651
West Indies Vs Uganda,Uganda,Dinesh Nakrani,3,0,20,1,6.66,5,2,0,0,0,T20I # 2651
West Indies Vs Uganda,West Indies,Akeal Hosein,4,0,11,5,2.75,19,2,0,0,0,T20I # 2651
West Indies Vs Uganda,West Indies,Romario Shepherd,2,0,9,1,4.5,6,1,0,0,0,T20I # 2651
West Indies Vs Uganda,West Indies,Andre Russell,1,0,4,1,4,4,0,0,1,0,T20I # 2651
West Indies Vs Uganda,West Indies,Alzarri Joseph,3,0,6,2,2,14,0,0,1,0,T20I # 2651
West Indies Vs Uganda,West Indies,Gudakesh Motie,2,0,6,1,3,8,0,0,0,0,T20I # 2651
Australia Vs England,England,Moeen Ali,2,0,18,1,9,6,2,1,0,0,T20I # 2650
Australia Vs England,England,Will Jacks,1,0,22,0,22,1,0,3,0,0,T20I # 2650
Australia Vs England,England,Jofra Archer,4,0,28,1,7,11,2,1,1,0,T20I # 2650
Australia Vs England,England,Mark Wood,3,0,32,0,10.66,9,2,3,0,0,T20I # 2650
Australia Vs England,England,Adil Rashid,4,0,41,1,10.25,7,4,2,1,0,T20I # 2650
Australia Vs England,England,Chris Jordan,4,0,44,2,11,6,4,2,4,0,T20I # 2650
Australia Vs England,England,Liam Livingstone,2,0,15,1,7.5,2,0,1,0,0,T20I # 2650
Australia Vs England,Australia,Mitchell Starc,3,0,37,0,12.33,7,3,3,2,0,T20I # 2650
Australia Vs England,Australia,Josh Hazlewood,4,0,28,1,7,10,4,0,0,0,T20I # 2650
Australia Vs England,Australia,Pat Cummins,4,0,23,2,5.75,10,2,0,1,0,T20I # 2650
Australia Vs England,Australia,Marcus Stoinis,3,0,24,1,8,6,3,0,2,0,T20I # 2650
Australia Vs England,Australia,Adam Zampa,4,0,28,2,7,9,0,2,0,0,T20I # 2650
Australia Vs England,Australia,Glenn Maxwell,2,0,22,0,11,5,0,3,0,0,T20I # 2650
Netherlands Vs South Africa,South Africa,Marco Jansen,4,0,20,2,5,15,2,0,1,1,T20I # 2649
Netherlands Vs South Africa,South Africa,Kagiso Rabada,4,0,27,0,6.75,12,2,1,1,0,T20I # 2649
Netherlands Vs South Africa,South Africa,Ottneil Baartman,4,0,11,4,2.75,17,1,0,1,0,T20I # 2649
Netherlands Vs South Africa,South Africa,Anrich Nortje,4,0,19,2,4.75,14,0,1,1,1,T20I # 2649
Netherlands Vs South Africa,South Africa,Keshav Maharaj,4,0,24,0,6,6,1,0,1,0,T20I # 2649
Netherlands Vs South Africa,Netherlands,Vivian Kingma,4,1,12,2,3,18,0,0,1,0,T20I # 2649
Netherlands Vs South Africa,Netherlands,Logan van Beek,4,1,21,2,5.25,13,1,1,0,0,T20I # 2649
Netherlands Vs South Africa,Netherlands,Paul van Meekeren,4,1,13,0,3.25,17,1,0,1,0,T20I # 2649
Netherlands Vs South Africa,Netherlands,Bas de Leede,3.5,0,34,1,8.86,12,2,2,0,1,T20I # 2649
Netherlands Vs South Africa,Netherlands,Tim Pringle,2,0,14,0,7,4,0,1,0,0,T20I # 2649
Netherlands Vs South Africa,Netherlands,Vikramjit Singh,1,0,11,0,11,0,0,1,0,0,T20I # 2649
Bangladesh Vs Sri Lanka,Bangladesh,Tanzim Hasan Sakib,4,0,24,1,6,14,2,1,0,0,T20I # 2646
Bangladesh Vs Sri Lanka,Bangladesh,Shakib Al Hasan,3,0,30,0,10,5,4,0,0,0,T20I # 2646
Bangladesh Vs Sri Lanka,Bangladesh,Taskin Ahmed,4,0,25,2,6.25,12,3,0,1,0,T20I # 2646
Bangladesh Vs Sri Lanka,Bangladesh,Mustafizur Rahman,4,0,17,3,4.25,14,2,0,1,0,T20I # 2646
Bangladesh Vs Sri Lanka,Bangladesh,Rishad Hossain,4,0,22,3,5.5,10,1,1,0,0,T20I # 2646
Bangladesh Vs Sri Lanka,Bangladesh,Mahmudullah,1,0,4,0,4,2,0,0,0,0,T20I # 2646
Bangladesh Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,2,0,11,1,5.5,3,0,0,1,0,T20I # 2646
Bangladesh Vs Sri Lanka,Sri Lanka,Nuwan Thushara,4,0,18,4,4.5,14,1,0,5,0,T20I # 2646
Bangladesh Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,25,0,6.25,8,1,0,3,0,T20I # 2646
Bangladesh Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,32,2,8,12,0,4,0,0,T20I # 2646
Bangladesh Vs Sri Lanka,Sri Lanka,Matheesha Pathirana,4,0,27,1,6.75,11,1,1,2,0,T20I # 2646
Bangladesh Vs Sri Lanka,Sri Lanka,Dasun Shanaka,1,0,11,0,11,2,0,1,1,0,T20I # 2646
Afghanistan Vs New Zealand,New Zealand,Trent Boult,4,0,22,2,5.5,12,1,1,0,0,T20I # 2645
Afghanistan Vs New Zealand,New Zealand,Matt Henry,4,0,37,2,9.25,10,3,2,0,0,T20I # 2645
Afghanistan Vs New Zealand,New Zealand,Mitchell Santner,4,0,24,0,6,11,3,0,0,0,T20I # 2645
Afghanistan Vs New Zealand,New Zealand,Michael Bracewell,3,0,27,0,9,6,0,3,0,0,T20I # 2645
Afghanistan Vs New Zealand,New Zealand,Lockie Ferguson,4,0,28,1,7,12,3,1,0,0,T20I # 2645
Afghanistan Vs New Zealand,New Zealand,Daryl Mitchell,1,0,16,0,16,0,0,2,0,0,T20I # 2645
Afghanistan Vs New Zealand,Afghanistan,Fazalhaq Farooqi,3.2,0,17,4,5.1,15,2,0,3,0,T20I # 2645
Afghanistan Vs New Zealand,Afghanistan,Mohammad Nabi,4,0,16,2,4,11,0,0,0,0,T20I # 2645
Afghanistan Vs New Zealand,Afghanistan,Naveen-ul-Haq,3,0,10,0,3.33,12,1,0,0,0,T20I # 2645
Afghanistan Vs New Zealand,Afghanistan,Rashid Khan,4,0,17,4,4.25,16,2,0,2,0,T20I # 2645
Afghanistan Vs New Zealand,Afghanistan,Noor Ahmad,1,0,10,0,10,1,0,1,0,0,T20I # 2645
Canada Vs Ireland,Ireland,Mark Adair,4,0,23,1,5.75,10,2,0,1,0,T20I # 2644
Canada Vs Ireland,Ireland,Josh Little,4,0,37,0,9.25,6,4,0,2,0,T20I # 2644
Canada Vs Ireland,Ireland,Craig Young,4,0,32,2,8,13,3,2,1,0,T20I # 2644
Canada Vs Ireland,Ireland,Barry McCarthy,4,0,24,2,6,12,4,0,0,0,T20I # 2644
Canada Vs Ireland,Ireland,Gareth Delany,2,0,10,1,5,5,0,0,0,0,T20I # 2644
Canada Vs Ireland,Ireland,Curtis Campher,2,0,11,0,5.5,4,0,0,1,0,T20I # 2644
Canada Vs Ireland,Canada,Kaleem Sana,4,0,38,0,9.5,11,4,1,3,0,T20I # 2644
Canada Vs Ireland,Canada,Jeremy Gordon,4,0,16,2,4,14,1,0,1,0,T20I # 2644
Canada Vs Ireland,Canada,Junaid Siddiqui,4,0,27,1,6.75,9,1,1,0,0,T20I # 2644
Canada Vs Ireland,Canada,Saad Bin Zafar,4,0,22,1,5.5,7,0,0,0,0,T20I # 2644
Canada Vs Ireland,Canada,Dilon Heyliger,4,0,18,2,4.5,12,1,0,1,0,T20I # 2644
Namibia Vs Scotland,Scotland,Brad Wheal,4,0,33,3,8.25,8,2,1,1,1,T20I # 2643
Namibia Vs Scotland,Scotland,Brad Currie,4,0,16,2,4,12,1,0,0,0,T20I # 2643
Namibia Vs Scotland,Scotland,Chris Sole,3,0,23,1,7.66,7,3,0,1,1,T20I # 2643
Namibia Vs Scotland,Scotland,Mark Watt,4,0,39,0,9.75,8,4,2,0,0,T20I # 2643
Namibia Vs Scotland,Scotland,Chris Greaves,3,0,24,1,8,5,1,1,0,0,T20I # 2643
Namibia Vs Scotland,Scotland,Michael Leask,2,0,16,1,8,4,1,1,0,0,T20I # 2643
Namibia Vs Scotland,Namibia,Ruben Trumpelmann,4,0,36,1,9,9,1,1,4,1,T20I # 2643
Namibia Vs Scotland,Namibia,David Wiese,3.3,0,30,0,8.57,10,1,3,0,0,T20I # 2643
Namibia Vs Scotland,Namibia,Tangeni Lungameni,3,0,39,1,13,4,3,2,1,0,T20I # 2643
Namibia Vs Scotland,Namibia,Bernard Scholtz,4,0,20,1,5,7,1,0,0,0,T20I # 2643
Namibia Vs Scotland,Namibia,Gerhard Erasmus,4,0,29,2,7.25,9,1,1,2,0,T20I # 2643
USA Vs Pakistan,USA,Nosthush Kenjige,4,0,30,3,7.5,10,1,2,0,0,T20I # 2642
USA Vs Pakistan,USA,Saurabh Netravalkar,4,0,18,2,4.5,13,0,1,0,0,T20I # 2642
USA Vs Pakistan,USA,Ali Khan,4,0,30,1,7.5,8,2,1,2,0,T20I # 2642
USA Vs Pakistan,USA,Harmeet Singh,4,0,34,0,8.5,9,2,2,1,0,T20I # 2642
USA Vs Pakistan,USA,Jasdeep Singh,3,0,37,1,12.33,4,2,3,1,0,T20I # 2642
USA Vs Pakistan,USA,Corey Anderson,1,0,6,0,6,3,1,0,0,0,T20I # 2642
USA Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,33,0,8.25,13,5,1,2,0,T20I # 2642
USA Vs Pakistan,Pakistan,Mohammad Amir,4,0,25,1,6.25,12,2,0,3,0,T20I # 2642
USA Vs Pakistan,Pakistan,Naseem Shah,4,0,26,1,6.5,9,3,0,2,0,T20I # 2642
USA Vs Pakistan,Pakistan,Haris Rauf,4,0,37,1,9.25,9,4,1,1,0,T20I # 2642
USA Vs Pakistan,Pakistan,Shadab Khan,3,0,27,0,9,4,0,2,1,0,T20I # 2642
USA Vs Pakistan,Pakistan,Iftikhar Ahmed,1,0,10,0,10,2,2,0,0,0,T20I # 2642
Australia Vs Oman,Oman,Bilal Khan,4,0,36,1,9,9,4,1,1,1,T20I # 2641
Australia Vs Oman,Oman,Kaleemullah,3,0,30,1,10,7,4,1,0,0,T20I # 2641
Australia Vs Oman,Oman,Shakeel Ahmed,4,0,28,0,7,10,2,1,0,1,T20I # 2641
Australia Vs Oman,Oman,Mehran Khan,4,0,38,2,9.5,12,1,4,0,1,T20I # 2641
Australia Vs Oman,Oman,Aqib Ilyas,4,0,18,0,4.5,10,1,0,0,0,T20I # 2641
Australia Vs Oman,Oman,Zeeshan Maqsood,1,0,12,0,12,0,2,0,0,0,T20I # 2641
Australia Vs Oman,Australia,Mitchell Starc,3,0,20,2,6.66,12,3,0,5,0,T20I # 2641
Australia Vs Oman,Australia,Josh Hazlewood,4,0,21,0,5.25,12,1,1,0,0,T20I # 2641
Australia Vs Oman,Australia,Nathan Ellis,4,0,28,2,7,9,2,1,1,0,T20I # 2641
Australia Vs Oman,Australia,Marcus Stoinis,3,0,19,3,6.33,11,1,1,1,0,T20I # 2641
Australia Vs Oman,Australia,Glenn Maxwell,2,0,11,0,5.5,5,1,0,1,0,T20I # 2641
Australia Vs Oman,Australia,Adam Zampa,4,0,24,2,6,11,0,2,0,0,T20I # 2641
P.N.G. Vs Uganda ,Uganda,Alpesh Ramjani,4,1,17,2,4.25,16,1,1,0,0,T20I # 2640
P.N.G. Vs Uganda ,Uganda,Cosmas Kyewuta,3.1,0,17,2,5.36,9,2,0,0,0,T20I # 2640
P.N.G. Vs Uganda ,Uganda,Juma Miyagi,4,0,11,2,2.75,16,0,0,0,1,T20I # 2640
P.N.G. Vs Uganda ,Uganda,Brian Masaba,4,0,17,1,4.25,11,1,0,0,0,T20I # 2640
P.N.G. Vs Uganda ,Uganda,Frank Nsubuga,4,2,4,2,1,20,0,0,0,0,T20I # 2640
P.N.G. Vs Uganda ,P.N.G,Alei Nao,4,0,16,2,4,16,0,0,3,0,T20I # 2640
P.N.G. Vs Uganda ,P.N.G,Norman Vanua,4,0,19,2,4.75,17,1,0,6,0,T20I # 2640
P.N.G. Vs Uganda ,P.N.G,Chad Soper,4,0,13,1,3.25,14,0,0,1,0,T20I # 2640
